,index,close
869,2003-06-20,26.33
870,2003-06-23,25.78
871,2003-06-24,25.7
872,2003-06-25,25.26
873,2003-06-26,25.75
874,2003-06-27,25.63
875,2003-06-30,25.64
876,2003-07-01,26.15
877,2003-07-02,26.88
878,2003-07-03,26.5
879,2003-07-07,27.42
880,2003-07-08,27.7
881,2003-07-09,27.47
882,2003-07-10,26.91
883,2003-07-11,27.31
884,2003-07-14,27.4
885,2003-07-15,27.27
886,2003-07-16,27.52
887,2003-07-17,26.69
888,2003-07-18,26.89
889,2003-07-21,26.04
890,2003-07-22,26.38
891,2003-07-23,26.45
892,2003-07-24,26.0
893,2003-07-25,26.89
894,2003-07-28,26.61
895,2003-07-29,26.47
896,2003-07-30,26.23
897,2003-07-31,26.41
898,2003-08-01,26.17
899,2003-08-04,26.18
900,2003-08-05,25.66
901,2003-08-06,25.65
902,2003-08-07,25.71
903,2003-08-08,25.58
904,2003-08-11,25.61
905,2003-08-12,25.73
906,2003-08-13,25.6
907,2003-08-14,25.63
908,2003-08-15,25.54
909,2003-08-18,25.7
910,2003-08-19,26.62
911,2003-08-20,26.45
912,2003-08-21,26.24
913,2003-08-22,26.22
914,2003-08-25,26.5
915,2003-08-26,26.57
916,2003-08-27,26.42
917,2003-08-28,26.51
918,2003-08-29,26.52
919,2003-09-02,27.26
920,2003-09-03,28.3
921,2003-09-04,28.43
922,2003-09-05,28.38
923,2003-09-08,28.84
924,2003-09-09,28.37
925,2003-09-10,27.55
926,2003-09-11,27.84
927,2003-09-12,28.34
928,2003-09-15,28.36
929,2003-09-16,28.9
930,2003-09-17,28.5
931,2003-09-18,29.5
932,2003-09-19,29.96
933,2003-09-22,29.07
934,2003-09-23,29.6
935,2003-09-24,28.46
936,2003-09-25,28.24
937,2003-09-26,28.19
938,2003-09-29,28.83
939,2003-09-30,27.8
940,2003-10-01,28.52
941,2003-10-02,28.5
942,2003-10-03,29.08
943,2003-10-06,29.19
944,2003-10-07,29.14
945,2003-10-08,28.82
946,2003-10-09,28.94
947,2003-10-10,28.91
948,2003-10-13,28.78
949,2003-10-14,28.68
950,2003-10-15,29.07
951,2003-10-16,29.23
952,2003-10-17,28.93
953,2003-10-20,29.35
954,2003-10-21,29.35
955,2003-10-22,28.89
956,2003-10-23,28.91
957,2003-10-24,26.61
958,2003-10-27,26.91
959,2003-10-28,27.2
960,2003-10-29,26.74
961,2003-10-30,26.12
962,2003-10-31,26.14
963,2003-11-03,26.68
964,2003-11-04,26.07
965,2003-11-05,26.1
966,2003-11-06,26.23
967,2003-11-07,26.1
968,2003-11-10,26.0
969,2003-11-11,25.8
970,2003-11-12,25.98
971,2003-11-13,25.69
972,2003-11-14,25.5
973,2003-11-17,25.15
974,2003-11-18,25.15
975,2003-11-19,25.35
976,2003-11-20,25.1
977,2003-11-21,25.11
978,2003-11-24,25.73
979,2003-11-25,25.4
980,2003-11-26,25.45
981,2003-11-28,25.71
982,2003-12-01,25.84
983,2003-12-02,25.66
984,2003-12-03,25.67
985,2003-12-04,26.2
986,2003-12-05,25.98
987,2003-12-08,26.24
988,2003-12-09,26.38
989,2003-12-10,26.59
990,2003-12-11,26.61
991,2003-12-12,26.65
992,2003-12-15,26.74
993,2003-12-16,27.06
994,2003-12-17,27.04
995,2003-12-18,27.4
996,2003-12-19,27.36
997,2003-12-22,27.18
998,2003-12-23,27.15
999,2003-12-24,27.04
1000,2003-12-26,27.21
1001,2003-12-29,27.46
1002,2003-12-30,27.52
1003,2003-12-31,27.37
1004,2004-01-02,27.45
1005,2004-01-05,28.14
1006,2004-01-06,28.24
1007,2004-01-07,28.21
1008,2004-01-08,28.16
1009,2004-01-09,27.66
1010,2004-01-12,27.57
1011,2004-01-13,27.43
1012,2004-01-14,27.7
1013,2004-01-15,27.54
1014,2004-01-16,27.81
1015,2004-01-20,28.1
1016,2004-01-21,28.3
1017,2004-01-22,28.01
1018,2004-01-23,28.48
1019,2004-01-26,28.8
1020,2004-01-27,28.25
1021,2004-01-28,27.71
1022,2004-01-29,27.91
1023,2004-01-30,27.65
1024,2004-02-02,27.4
1025,2004-02-03,27.29
1026,2004-02-04,27.01
1027,2004-02-05,26.96
1028,2004-02-06,27.08
1029,2004-02-09,26.9
1030,2004-02-10,27.02
1031,2004-02-11,27.15
1032,2004-02-12,26.95
1033,2004-02-13,26.59
1034,2004-02-17,26.99
1035,2004-02-18,26.77
1036,2004-02-19,26.46
1037,2004-02-20,26.57
1038,2004-02-23,26.61
1039,2004-02-24,26.88
1040,2004-02-25,26.7
1041,2004-02-26,26.5
1042,2004-02-27,26.53
1043,2004-03-01,26.7
1044,2004-03-02,26.39
1045,2004-03-03,26.37
1046,2004-03-04,26.37
1047,2004-03-05,26.35
1048,2004-03-08,25.83
1049,2004-03-09,25.72
1050,2004-03-10,25.37
1051,2004-03-11,25.09
1052,2004-03-12,25.38
1053,2004-03-15,25.16
1054,2004-03-16,25.18
1055,2004-03-17,25.13
1056,2004-03-18,24.89
1057,2004-03-19,24.63
1058,2004-03-22,24.5
1059,2004-03-23,24.15
1060,2004-03-24,24.41
1061,2004-03-25,25.19
1062,2004-03-26,25.03
1063,2004-03-29,25.31
1064,2004-03-30,25.2
1065,2004-03-31,24.93
1066,2004-04-01,25.08
1067,2004-04-02,25.85
1068,2004-04-05,25.951
1069,2004-04-06,25.8
1070,2004-04-07,25.59
1071,2004-04-08,25.48
1072,2004-04-12,25.61
1073,2004-04-13,25.45
1074,2004-04-14,25.51
1075,2004-04-15,25.215
1076,2004-04-16,25.16
1077,2004-04-19,25.53
1078,2004-04-20,25.33
1079,2004-04-21,25.45
1080,2004-04-22,25.95
1081,2004-04-23,27.54
1082,2004-04-26,27.24
1083,2004-04-27,27.22
1084,2004-04-28,26.56
1085,2004-04-29,26.48
1086,2004-04-30,26.13
1087,2004-05-03,26.35
1088,2004-05-04,26.33
1089,2004-05-05,26.3
1090,2004-05-06,26.12
1091,2004-05-07,25.78
1092,2004-05-10,25.93
1093,2004-05-11,25.94
1094,2004-05-12,25.94
1095,2004-05-13,26.1
1096,2004-05-14,25.86
1097,2004-05-17,25.54
1098,2004-05-18,25.83
1099,2004-05-19,25.62
1100,2004-05-20,25.73
1101,2004-05-21,25.89
1102,2004-05-24,25.76
1103,2004-05-25,26.1
1104,2004-05-26,26.14
1105,2004-05-27,26.19
1106,2004-05-28,26.23
1107,2004-06-01,26.11
1108,2004-06-02,26.13
1109,2004-06-03,25.89
1110,2004-06-04,25.95
1111,2004-06-07,26.43
1112,2004-06-08,26.6
1113,2004-06-09,26.47
1114,2004-06-10,26.77
1115,2004-06-14,26.9
1116,2004-06-15,27.405
1117,2004-06-16,27.32
1118,2004-06-17,27.769000000000002
1119,2004-06-18,28.35
1120,2004-06-21,28.35
1121,2004-06-22,28.29
1122,2004-06-23,28.3
1123,2004-06-24,28.39
1124,2004-06-25,28.57
1125,2004-06-28,28.28
1126,2004-06-29,28.5
1127,2004-06-30,28.56
1128,2004-07-01,28.63
1129,2004-07-02,28.57
1130,2004-07-06,28.02
1131,2004-07-07,28.1
1132,2004-07-08,27.64
1133,2004-07-09,27.86
1134,2004-07-12,27.89
1135,2004-07-13,27.6
1136,2004-07-14,28.13
1137,2004-07-15,27.87
1138,2004-07-16,27.48
1139,2004-07-19,27.95
1140,2004-07-20,28.32
1141,2004-07-21,28.86
1142,2004-07-22,29.0
1143,2004-07-23,28.03
1144,2004-07-26,28.66
1145,2004-07-27,28.44
1146,2004-07-28,28.58
1147,2004-07-29,28.48
1148,2004-07-30,28.49
1149,2004-08-02,28.52
1150,2004-08-03,28.07
1151,2004-08-04,28.06
1152,2004-08-05,27.53
1153,2004-08-06,27.14
1154,2004-08-09,27.18
1155,2004-08-10,27.72
1156,2004-08-11,27.41
1157,2004-08-12,26.88
1158,2004-08-13,27.02
1159,2004-08-16,27.09
1160,2004-08-17,27.05
1161,2004-08-18,27.46
1162,2004-08-19,27.12
1163,2004-08-20,27.2
1164,2004-08-23,27.24
1165,2004-08-24,27.24
1166,2004-08-25,27.55
1167,2004-08-26,27.44
1168,2004-08-27,27.46
1169,2004-08-30,27.3
1170,2004-08-31,27.3
1171,2004-09-01,27.39
1172,2004-09-02,27.62
1173,2004-09-03,27.11
1174,2004-09-07,27.36
1175,2004-09-08,27.26
1176,2004-09-09,27.28
1177,2004-09-10,27.49
1178,2004-09-13,27.25
1179,2004-09-14,27.44
1180,2004-09-15,27.19
1181,2004-09-16,27.26
1182,2004-09-17,27.51
1183,2004-09-20,27.51
1184,2004-09-21,27.26
1185,2004-09-22,27.12
1186,2004-09-23,27.35
1187,2004-09-24,27.29
1188,2004-09-27,27.19
1189,2004-09-28,27.27
1190,2004-09-29,27.58
1191,2004-09-30,27.65
1192,2004-10-01,28.25
1193,2004-10-04,28.12
1194,2004-10-05,28.38
1195,2004-10-06,28.53
1196,2004-10-07,28.17
1197,2004-10-08,27.99
1198,2004-10-11,28.06
1199,2004-10-12,28.03
1200,2004-10-13,28.03
1201,2004-10-14,27.8
1202,2004-10-15,27.99
1203,2004-10-18,28.41
1204,2004-10-19,28.18
1205,2004-10-20,28.699
1206,2004-10-21,28.56
1207,2004-10-22,27.74
1208,2004-10-25,27.63
1209,2004-10-26,27.9
1210,2004-10-27,28.15
1211,2004-10-28,28.01
1212,2004-10-29,27.97
1213,2004-11-01,28.08
1214,2004-11-02,28.24
1215,2004-11-03,28.47
1216,2004-11-04,29.0
1217,2004-11-05,29.31
1218,2004-11-08,29.28
1219,2004-11-09,29.77
1220,2004-11-10,29.73
1221,2004-11-11,29.98
1222,2004-11-12,29.97
1223,2004-11-15,27.39
1224,2004-11-16,27.12
1225,2004-11-17,27.17
1226,2004-11-18,27.07
1227,2004-11-19,26.86
1228,2004-11-22,26.65
1229,2004-11-23,26.53
1230,2004-11-24,26.64
1231,2004-11-26,26.6
1232,2004-11-29,26.77
1233,2004-11-30,26.81
1234,2004-12-01,27.25
1235,2004-12-02,27.09
1236,2004-12-03,27.23
1237,2004-12-06,27.33
1238,2004-12-07,27.07
1239,2004-12-08,27.36
1240,2004-12-09,27.23
1241,2004-12-10,27.08
1242,2004-12-13,27.25
1243,2004-12-14,27.23
1244,2004-12-15,27.11
1245,2004-12-16,27.16
1246,2004-12-17,26.96
1247,2004-12-20,26.95
1248,2004-12-21,27.07
1249,2004-12-22,26.97
1250,2004-12-23,27.01
1251,2004-12-27,26.85
1252,2004-12-28,26.95
1253,2004-12-29,26.9
1254,2004-12-30,26.76
